     0     4     5     9    13    14
     0     5     6    11    12    17
     0     0     0     0     0     0
     0     3     5    10    13    14
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     5     9    10    13    14
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     3     4    11    13    14
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     4     9    11    13    14
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     3    10    11    13    14
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     9    10    11    13    14
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     2     4     5    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     2     4     5     7    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     4     5     8    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     4     5     7     8    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     2     5    10    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     2     5     7    10    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     5     8    10    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     5     7     8    10    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     2     4    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     2     4     7    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     4     8    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     4     7     8    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     2    10    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     2     7    10    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     1     8    10    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     7     8    10    11    15
     0     3     6     9    12    15
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     3     4     5
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     3     4     5     7
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     3     4     5     8
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     3     4     5     7     8
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     4     5     9
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     4     5     7     9
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     4     5     8     9
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     4     5     7     8     9
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     3     5    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     3     5     7    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     3     5     8    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     3     5     7     8    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     5     9    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     5     7     9    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     5     8     9    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     5     7     8     9    10
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     3     4    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     3     4     7    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     3     4     8    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     3     4     7     8    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     4     9    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     4     7     9    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     4     8     9    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     4     7     8     9    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     3    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     3     7    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     3     8    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     3     7     8    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     2     9    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     7     9    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     1     8     9    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     7     8     9    10    11
     0     0     0     0     0     0
     0     3     6     9    12    15
     0     2     3     4     5    13
