0	1	2	3	4	5	6
0	3	8	9	11	12	13
0	0	0	0	0	0	0
0	2	4	6	8	10	12
0	1	2	10	11	12	13
0	0	0	0	0	0	0
0	2	4	6	8	10	12
0	2	8	10	11	12	13
0	0	0	0	0	0	0
0	2	4	6	8	10	12
0	1	9	10	11	12	13
0	0	0	0	0	0	0
0	2	4	6	8	10	12
0	8	9	10	11	12	13
0	0	0	0	0	0	0
0	1	4	6	9	10	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	4	6	8	9	10	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	3	6	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	3	6	8	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	3	6	9	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	3	6	8	9	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	6	10	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	6	8	10	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	6	9	10	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	6	8	9	10	11	12
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	3	4	5	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	3	4	5	8	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	3	4	5	9	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	3	4	5	8	9	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	4	5	10	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	4	5	8	10	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	4	5	9	10	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	4	5	8	9	10	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	3	5	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	3	5	8	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	3	5	9	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	3	5	8	9	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	5	10	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	5	8	10	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	5	9	10	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	5	8	9	10	11	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	3	4	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	3	4	8	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	3	4	9	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	3	4	8	9	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	4	10	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	4	8	10	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	4	9	10	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	4	8	9	10	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	3	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	3	8	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	3	9	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	3	8	9	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	2	10	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	2	8	10	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	1	9	10	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
0	8	9	10	11	12	13
0	2	4	6	8	10	12
0	0	0	0	0	0	0
